channel,name,clone,keep,deepcell
ArAr80,ArAr80,NA,0,
Y89,Myeloperoxidase MPO,Polyclonal MPO,1,
In113,Histone H3,D1H2,1,1
In115,SMA,1A4,1,
Xe131,Xe131,NA,0,
Xe134,Xe134,NA,0,
Ba136,Ba136,NA,0,
La138,La138,NA,0,
Pr141,CD16,EPR16784,1,
Nd142,CD38,EPR4106,1,
Nd143,HLA-DR,TAL 1B5,1,
Nd144,CD27,Polyclonal_CD27 / TNFRSF7,1,
Nd145,CD15,HI98,1,
Nd146,CD45RA,HI100,1,
Sm147,CD163,EDHu-1,1,2
Nd148,Beta-2 Microglobulin,D8P1H,1,
Sm149,CD20,L26,1,2
Nd150,CD68,KP1,1,
Eu151,Indoleamine 2- 3-dioxygenase (IDO),SP260,1,
Sm152,CD3,polyclonal_A0452,1,2
Eu153,LAG-3,D2G4O,1,
Sm154,CD11c,D3V1E,1,
Gd155,CD279 (PD-1),D4W2J,1,
Gd156,CD140b (PDGF Receptor beta),Y92,1,
Gd158,CD7,EPR4242,1,
Tb159,Granzyme B,D6E9W,1,
Gd160,CD274 (B7-H1- PD-L1),73-10,1,
Dy161,TCF1/TCF7,C63D9,1,
Dy162,CD45RO,UCHL1,1,
Dy163,FOXP3,236A/E7,1,
Dy164,CD278 (ICOS),D1K2T,1,
Ho165,CD8a,C8/144B,1,2
Er166,Carbonic Anhydrase IX,polyclonal_CA9_AF2188,1,
Er167,CD33,996810,1,
Er168,Ki-67,B56,1,
Tm169,VISTA,D1L2G,1,
Er170,CD40,EPR20735,1,
Yb171,CD4,EPR6855,1,
Yb172,CD14,SP192,1,
Yb173,E-Cadherin / P-Cadherin,36/E-Cadherin,1,2
Yb174,CD303,Polyclonal_DLEC / CLEC4C / BDCA-2,1,
Lu175,CD206 (MMR),685645,1,
Yb176,cleaved PARP,F21-852,1,
Ir191,DNA1,Ir,1,1
Ir193,DNA2,Ir,1,1
Pt196,Pt196,NA,0,
Pb206,Pb206,NA,0,
